巷道名稱,長度公尺,實際寬度公尺,受影響建築物之詳細地址,行政區,轄區分隊,分區
博愛街2巷,40,1.5,整條巷弄,新營區,新營分隊,紅
博愛街75巷,110,3,整條巷弄,新營區,新營分隊,紅
建業路81巷,54,2,整條巷內,新營區,新營分隊,紅
和平路8巷,75,2,整條巷弄,新營區,新營分隊,紅
中正路37巷,220,3,37巷52號-110號,新營區,新營分隊,紅
中山路245巷,40,2.5,1-15號,新營區,新營分隊,紅
和平路47巷,100,2,整條巷弄,新營區,新營分隊,紅
復興路29巷,95,3,整條巷弄,新營區,新營分隊,紅
三民路140巷,140,4,整條巷弄,新營區,新營分隊,紅
民族路150巷,270,4,整條巷弄,新營區,新營分隊,紅
大公街78巷,60,3,整條巷弄,新營區,新營分隊,紅
中正路39巷,260,3.5,整條巷弄,新營區,新營分隊,紅
信義街53巷,160,3,整條巷弄,新營區,新營分隊,紅
民族路9號巷弄,95,3,9-1至9-18號,新營區,新營分隊,紅
民治路18巷,220,3,整條巷弄,新營區,新營分隊,紅
民治路26巷,170,3,整條巷弄,新營區,新營分隊,紅
民生路139巷,140,3,整條巷弄,新營區,新營分隊,紅
南紙街82巷,80,3,整條巷弄,新營區,新營分隊,紅
復興路135巷,200,5,整條巷弄,新營區,新營分隊,黃
中華路52巷,170,4.5,整條巷弄,新營區,新營分隊,黃
公誠街3巷,200,4.5,整條巷弄,新營區,新營分隊,黃
義和街8巷,180,4.5,整條巷弄,新營區,新營分隊,黃
民治路230巷,280,5,整條巷弄,新營區,新營分隊,黃
進修街29巷,200,5,整條巷弄,新營區,新營分隊,黃
忠義街,290,4.5,整條巷弄,新營區,新營分隊,黃
武侯街,270,4.5,整條巷弄,新營區,新營分隊,黃
中原街,130,5,整條巷弄,新營區,新營分隊,黃
建業路227巷16弄,40,4,建業路227巷16弄1-20號,新營區,新營分隊,藍
東興3街22巷,40,4,東興3街22巷1-46號,新營區,新營分隊,藍
民治路53巷,40,4,"民治路53巷3,5,7號",新營區,新營分隊,藍
民生路385巷,50,5,民生路385巷13弄1-9號,新營區,新營分隊,藍
博愛街43號旁巷道,130,2.5,43-65號,柳營區,柳營分隊,紅
中山西路二段106號,100,2.5,106.110.311.306.2.303.306.1.306.3.319.其餘無門牌,柳營區,柳營分隊,紅
柳營路三段420巷23號,50,3,1至35號,柳營區,柳營分隊,紅
光福里273之9號巷道,160,2.5,272-286號,柳營區,柳營分隊,紅
士林里91之32號巷道,100,6,91之31號.91之11號.91號.91之27號.其餘無門牌,柳營區,柳營分隊,黃
成功街198號旁巷道,200,2,264.265.266.267.268.269其餘無門牌,柳營區,柳營分隊,紅
成功街240號旁巷道,100,2.5,85-98號,柳營區,柳營分隊,紅
成功街136巷道,300,2.5,1-30號,柳營區,柳營分隊,紅
成功街110巷道,220,2.5,1-15號,柳營區,柳營分隊,紅
